Status,CreditGrade,Amount,Age,InterestRate
Current,E,2025,2,0.22
Current,HR,2526,7,0.287
Current,HR,2000,1,0.234
Current,HR,1000,1,0.2
Current,HR,3100,2,0.27
Current,HR,2525,2,0.29
Current,HR,2500,8,0.05
Current,HR,1000,6,0.2875
Current,HR,3000,6,0.2475
Current,HR,3000,1,0.29
Current,HR,1000,3,0.145
Current,HR,2000,4,0.24
Current,HR,1000,5,0.2889
Current,HR,2600,7,0.2875
Current,HR,2000,7,0.2375
Current,HR,1120,5,0.29
Current,HR,3200,7,0.26
Current,HR,3500,3,0.29
Current,HR,1500,5,0.29
Current,HR,1000,4,0.175
Current,HR,2000,6,0.2875
Current,HR,1500,2,0.26
Current,HR,2000,1,0.2845
Current,HR,3000,4,0.15
Current,HR,4500,2,0.29
Current,HR,2200,2,0.24
Current,HR,2500,2,0.195
Current,HR,3500,2,0.2
Current,HR,1000,2,0.25
Current,HR,1000,2,0.095
Current,HR,4000,0,0.29
Current,HR,6001,6,0.2375
Current,HR,4775,7,0.2875
Current,HR,1250,4,0.11
Current,HR,1000,2,0.29
Current,HR,1600,1,0.15
Current,HR,3500,1,0.15
Current,HR,4050,1,0.15
Current,HR,2000,3,0.24
Current,HR,3500,7,0.2475
Current,HR,3001,6,0.28
Current,HR,2800,2,0.25
Current,HR,1000,2,0.2895
Current,HR,1500,1,0.2189
Current,HR,2000,1,0.2
Current,HR,2000,1,0.29
Current,HR,1000,7,0.2875
Current,HR,1800,1,0.2
Current,HR,2500,1,0.29
Current,HR,3000,1,0.176
Current,HR,1000,1,0.17
Current,NC,3500,3,0.15
Default,HR,2900,7,0.2875
Late,E,3800,5,0.29
Late,HR,3500,8,0.03
Late,HR,1005,3,0.29
Late,HR,1500,4,0.29
Late,HR,1000,4,0.29
Late,NC,2000,6,0.2875
Late,C,5000,6,0.19
Late,HR,1000,5,0.2793
Late,HR,3000,4,0.29
Late,HR,3000,7,0.25
Current,C,2000,9,0.1175
Current,C,5000,9,0.19
Current,NC,4600,10,0.25
Default,HR,3001,10,0.3575
Default,HR,3500,10,0.2075
Current,A,3000,8,0.085
Default,HR,3000,10,0.2475
Late,HR,3001,9,0.23
Current,AA,5000,10,0.0762
Current,AA,2500,10,0.0685
Current,AA,10000,11,0.07
Current,B,2500,10,0.1104
Current,C,3800,9,0.145
Current,AA,1000,9,0.0875
Current,C,2750,9,0.1475
Current,D,4000,8,0.22
Current,HR,6001,9,0.2375
Current,A,7500,11,0.08
Current,AA,10000,8,0.0958
Current,C,10000,8,0.1775
Current,HR,2600,8,0.2375
Current,C,2000,9,0.1125
Current,A,11000,10,0.15
Current,B,4150,8,0.13
Current,C,7500,9,0.1625
Current,C,6000,8,0.1845
Late,E,7000,9,0.35
Current,A,2000,10,0.07
Current,C,5000,10,0.135
Current,C,2500,10,0.1095
Current,E,3100,10,0.27
Current,HR,1500,9,0.1775
Current,A,3000,9,0.09
Current,A,11000,4,0.1
Current,A,1000,3,0.085
Current,A,5000,7,0.1
Current,A,10000,1,0.099
Current,A,8998,13,0.0945
Current,A,5000,6,0.1025
Current,A,12000,5,0.1515
Current,A,5000,4,0.09
Current,A,5000,4,0.1012
Current,A,5000,3,0.095
Current,AA,9895,5,0.089
Current,AA,8000,2,0.09
Current,AA,2500,7,0.0765
Current,AA,6400,1,0.09
Current,AA,20000,2,0.15
Current,AA,4000,2,0.08
Current,AA,1000,3,0.075
Current,AA,4950,2,0.08
Current,AA,13250,5,0.135
Current,AA,2000,1,0.07
Current,AA,3001,6,0.0812
Current,AA,3500,7,0.0975
Current,AA,10000,5,0.0899
Current,AA,3000,3,0.09
Current,AA,3000,4,0.0845
Current,AA,3000,5,0.0845
Current,AA,3001,6,0.08
Current,B,6001,7,0.1575
Current,B,2500,1,0.09
Current,B,9500,4,0.138
Current,B,4000,4,0.1195
Current,B,3000,5,0.11
Current,B,8000,7,0.1169
Current,B,5000,2,0.2
Current,B,2550,2,0.1
Current,B,1700,5,0.1025
Current,B,1000,1,0.1025
Current,B,4000,5,0.11
Current,C,3000,5,0.12
Current,C,3000,3,0.15
Current,C,7500,5,0.215
Current,C,3500,1,0.108
Current,C,2500,5,0.115
Current,C,6001,6,0.174
Current,C,2900,8,0.17
Current,C,6000,6,0.145
Current,C,5000,6,0.15
Current,C,4000,8,0.2375
Current,C,6000,4,0.165
Current,C,4500,7,0.175
Current,C,7300,6,0.1925
Current,C,5000,3,0.1375
Current,C,1000,6,0.1025
Current,C,10000,6,0.1544
Current,C,8500,3,0.23
Current,D,3250,2,0.168
Current,D,2550,6,0.2295
Current,D,5000,7,0.1675
Current,D,4000,5,0.22
Current,D,1500,3,0.15
Current,D,1000,3,0.2
Current,D,1500,6,0.17
Current,D,8000,3,0.22
Current,D,1000,8,0.2075
Current,D,6001,7,0.2
Current,D,1500,8,0.17
Current,D,6001,7,0.22
Current,D,2500,2,0.14
Current,D,5000,4,0.1525
Current,D,3000,1,0.24
Current,D,5000,1,0.2069
Current,E,2250,1,0.2235
Current,E,2550,1,0.24
Current,E,6001,1,0.23
Current,E,3001,2,0.2899
Current,E,3000,2,0.29
Current,E,3500,9,0.237
Current,E,1000,2,0.2
Current,E,6000,5,0.3
Current,E,2500,1,0.24
Current,E,2000,2,0.17
Current,E,2550,3,0.29
Current,E,2550,8,0.225
Current,E,3000,5,0.1795
Current,E,2025,7,0.2
Current,E,8000,1,0.25
Current,E,3000,4,0.29
Current,E,3000,7,0.2
Current,E,3500,7,0.1775
Current,E,2000,4,0.26
Current,E,3000,5,0.29
Current,E,2400,5,0.24
Current,E,1025,7,0.21
Current,E,1000,5,0.2429
Current,HR,1000,9,0.2
Current,HR,1000,10,0.1575
Current,HR,1100,2,0.15
Current,HR,5000,7,0.255
Current,HR,2550,2,0.285
Current,HR,1000,5,0.2
Current,HR,5000,5,0.29
Current,HR,1000,4,0.29
Current,HR,1000,6,0.2475
Current,HR,3001,10,0.26
Current,HR,4790,6,0.2475
Current,HR,6001,6,0.22
Current,HR,4000,6,0.2
Current,HR,2550,3,0.22
Current,HR,3000,3,0.25
Current,HR,1500,7,0.2475
Current,HR,2000,4,0.29
Current,HR,1000,4,0.29
Current,HR,2550,7,0.255
Current,HR,3001,1,0.22
Current,HR,2000,1,0.28
Current,HR,6000,3,0.2
Current,HR,1000,3,0.095
Current,HR,5000,1,0.1775
Current,HR,3000,7,0.28
Current,HR,5000,3,0.2875
Current,HR,5050,4,0.225
Current,HR,1000,2,0.29
Current,HR,1000,2,0.24
Current,HR,1000,2,0.25
Current,HR,2000,2,0.3
Current,HR,2000,1,0.2323
Current,HR,1000,1,0.17
Current,HR,1500,2,0.29
Current,HR,8500,3,0.29
Current,HR,2000,2,0.23
Current,HR,1525,1,0.19
Current,HR,2000,1,0.29
Current,HR,2200,6,0.2875
Current,HR,1000,4,0.2
Current,HR,3500,1,0.2295
Current,NC,2000,1,0.29
Current,NC,10000,5,0.28
Current,NC,2500,3,0.29
Late,D,6100,7,0.2
Late,HR,2600,4,0.29
Late,HR,1500,4,0.2
Late,E,3200,4,0.274
Late,E,2500,5,0.2195
Late,E,3000,7,0.2375
Late,E,2200,5,0.285
Late,HR,2000,6,0.2875
Late,HR,2700,7,0.28
Late,HR,2000,5,0.29
Late,HR,3100,7,0.28
Late,HR,3000,7,0.2475
Late,NC,5000,5,0.27
Late,E,2350,7,0.2075
Late,HR,1700,7,0.2375
Late,HR,3000,2,0.05
Current,B,15001,9,0.1425
Current,C,4000,9,0.2
Current,E,3000,9,0.2
Current,A,10000,9,0.1
Current,AA,15000,9,0.101
Current,B,4000,8,0.119
Default,HR,3050,9,0.35
Late,E,3001,8,0.2375
Current,C,3500,8,0.165
Current,C,3000,10,0.1
Current,HR,4000,9,0.3325
Current,A,10000,11,0.08
Current,AA,1000,8,0.0825
Current,HR,3000,10,0.24
Late,HR,2550,8,0.2325
Current,AA,10000,11,0.07
Current,C,3500,8,0.155
Current,D,3000,10,0.1575
Current,E,3001,8,0.2025
Current,E,2200,10,0.1775
Default,C,3300,9,0.139
Current,E,2555,9,0.2
Current,B,15000,8,0.126
Current,C,3300,11,0.24
Current,E,6000,10,0.246
Late,D,5000,11,0.13
Current,AA,5000,11,0.07
Current,E,2550,8,0.2375
Current,HR,2900,10,0.3125
Default,HR,1300,9,0.357
Current,A,2500,8,0.0975
Current,A,7500,4,0.1055
Current,A,3000,3,0.085
Current,A,5000,4,0.0981
Current,AA,10000,2,0.1075
Current,AA,20000,3,0.1122
Current,AA,1036,1,0.07
Current,AA,25000,5,0.095
Current,AA,6000,3,0.096
Current,AA,4000,1,0.08
Current,AA,2500,2,0.078
Current,AA,4000,4,0.0825
Current,AA,2300,6,0.0755
Current,AA,5000,4,0.082
Current,AA,10000,5,0.09
Current,AA,5055,1,0.0799
Current,AA,5000,2,0.09
Current,AA,9500,4,0.0912
Current,AA,3000,2,0.084
Current,AA,2500,5,0.08
Current,AA,1000,5,0.0844
Current,B,2000,10,0.07
Current,B,20000,5,0.15
Current,B,4250,4,0.1275
Current,B,8000,3,0.17
Current,B,5000,4,0.1145
Current,B,2000,2,0.092
Current,B,1400,5,0.0975
Current,B,15000,4,0.1745
Current,B,2550,1,0.0975
Current,B,2600,4,0.1388
Current,C,7000,7,0.175
Current,C,7600,2,0.17
Current,C,5000,1,0.139
Current,C,2500,1,0.16
Current,C,10000,2,0.1395
Current,C,9000,1,0.2
Current,C,2550,1,0.138
Current,C,2550,2,0.1375
Current,C,4000,4,0.15
Current,C,3500,8,0.15
Current,C,3050,1,0.13
Current,C,4816,7,0.169
Current,C,3000,3,0.16
Current,C,7000,4,0.14
Current,C,3001,5,0.163
Current,C,5000,5,0.154
Current,C,6100,7,0.233
Current,C,11000,7,0.1575
Current,C,5000,7,0.1699
Current,C,5055,8,0.1485
Current,C,7000,3,0.17
Current,C,5000,3,0.25
Current,C,5000,7,0.152
Current,D,2000,8,0.15
Current,D,10000,2,0.1855
Current,D,1250,5,0.15
Current,D,4000,4,0.168
Current,D,6001,6,0.2275
Current,D,6002,2,0.1955
Current,D,2849,6,0.1775
Current,D,5000,4,0.2375
Current,D,1030,5,0.17
Current,D,3000,6,0.17
Current,D,4000,3,0.18
Current,D,10500,1,0.205
Current,D,2000,2,0.17
Current,D,15000,7,0.28
Current,D,2500,5,0.17
Current,D,5000,4,0.2
Current,D,3000,5,0.1975
Current,D,1500,3,0.174
Current,D,1000,3,0.15
Current,D,6000,1,0.2567
Current,D,3500,2,0.17
Current,D,3000,6,0.1575
Current,D,3000,7,0.2075
Current,D,2500,1,0.25
Current,E,3001,1,0.24
Current,E,3500,1,0.1475
Current,E,2000,1,0.27
Current,E,2100,2,0.29
Current,E,1000,1,0.137
Current,E,10000,1,0.2775
Current,E,3000,3,0.17
Current,E,5000,3,0.29
Current,E,5000,4,0.289
Current,E,2500,1,0.28
Current,E,3500,1,0.22
Current,E,3500,5,0.2325
Current,E,3000,3,0.29
Current,E,1200,1,0.245
Current,E,3001,1,0.29
Current,E,2900,4,0.2
Current,E,1200,7,0.167
Current,E,2550,5,0.29
Current,E,5500,7,0.27
Current,E,6001,8,0.2275
Current,E,1300,3,0.09
Current,E,3500,3,0.29
Current,E,5000,4,0.29
Current,E,3000,5,0.28
Current,E,3000,4,0.27
Current,E,1100,5,0.24
Current,E,2500,6,0.2855
Current,E,5000,7,0.2625
Current,E,3000,3,0.25
Current,E,1000,2,0.15
Current,E,5000,3,0.29
Current,E,2950,3,0.2325
Current,E,3650,3,0.29
Current,E,3000,3,0.22
Current,E,2501,2,0.255
Current,HR,4000,1,0.29
Current,HR,1400,6,0.2
Current,HR,2000,4,0.24
Current,HR,4000,3,0.2
Current,HR,1000,5,0.21
Current,HR,1300,2,0.2
Current,HR,1700,5,0.2
Current,HR,2000,6,0.2075
Current,HR,1000,6,0.285
Current,HR,1001,4,0.2
Current,HR,3300,5,0.29
Current,HR,4000,6,0.2875
Current,HR,2500,6,0.2075
Current,HR,2500,7,0.2875
Current,HR,1500,5,0.2
Current,HR,2200,5,0.279
Current,HR,3000,3,0.23
Current,HR,5000,4,0.29
Current,HR,1200,4,0.24
Current,HR,2500,4,0.29
Current,HR,3500,4,0.1875
Current,HR,6001,2,0.22
Current,HR,4900,1,0.29
Current,HR,1000,5,0.29
Current,HR,3000,4,0.29
Current,HR,3052,2,0.29
Current,HR,1603,5,0.2
Current,HR,2000,2,0.29
Current,HR,1000,1,0.11
Current,HR,3070,5,0.2875
Current,HR,1000,1,0.27
Current,HR,2200,1,0.24
Current,NC,1250,1,0.1309
Current,NC,6000,0,0.23
Current,NC,2025,1,0.27
Default,A,2500,8,0.16
Default,A,2300,8,0.16
Late,E,3400,5,0.29
Late,E,4500,5,0.28
Late,HR,2000,5,0.29
Late,HR,1000,8,0.2375
Late,HR,1000,5,0.17
Late,HR,2000,6,0.29
Late,HR,3000,6,0.2875
Late,D,5000,3,0.2218
Late,D,5000,5,0.2015
Current,AA,7500,9,0.0915
Current,B,8000,9,0.133
Current,D,5500,10,0.13
Current,D,5000,9,0.1725
Current,E,3500,9,0.285
Default,C,4000,10,0.13
Current,A,3000,9,0.11
Current,A,3000,8,0.0875
Current,A,10000,9,0.1575
Current,AA,2000,8,0.0865
Current,C,3001,9,0.1325
Current,D,3700,11,0.13
Current,C,5000,10,0.16
Current,HR,1000,8,0.2375
Default,HR,3000,10,0.32
Current,B,9000,11,0.09
Current,HR,8500,11,0.1825
Current,B,5000,10,0.089
Current,C,3001,10,0.15
Current,E,2500,8,0.2325
Current,C,5000,8,0.135
Current,D,3000,8,0.2375
Default,HR,3001,9,0.3575
Current,B,3000,9,0.1045
Current,HR,1800,8,0.2375
Current,A,5000,9,0.1
Current,D,10000,8,0.225
Current,D,1200,8,0.0875
Current,HR,4800,9,0.2375
Current,A,6000,7,0.11
Current,A,8500,7,0.115
Current,A,1000,7,0.09
Current,A,10000,5,0.118
Current,A,8000,3,0.12
Current,A,5100,7,0.09
Current,A,6001,4,0.099
Current,A,5000,3,0.09
Current,A,2500,1,0.09
Current,A,15000,2,0.099
Current,AA,10000,1,0.0845
Current,AA,1000,1,0.069
Current,AA,1000,1,0.0725
Current,AA,8000,7,0.0899
Current,AA,7500,5,0.084
Current,AA,6001,5,0.0875
Current,AA,6000,5,0.0875
Current,AA,3200,3,0.08
Current,AA,25000,4,0.1189
Current,B,1500,7,0.1175
Current,B,10000,3,0.1124
Current,B,6000,9,0.11
Current,B,5000,7,0.1225
Current,B,5000,5,0.138
Current,B,1000,7,0.0775
Current,B,5000,4,0.1115
Current,B,3000,4,0.11
Current,B,3000,6,0.105
Current,B,3000,5,0.1038
Current,B,2500,2,0.1998
Current,B,5000,3,0.15
Current,B,3500,1,0.218
Current,C,3000,5,0.1375
Current,C,4050,6,0.1479
Current,C,3000,7,0.1765
Current,C,3000,2,0.15
Current,C,7500,1,0.13
Current,C,3500,3,0.17
Current,C,10000,2,0.1815
Current,C,5000,4,0.1295
Current,C,10000,5,0.1485
Current,C,9000,6,0.18
Current,C,7000,3,0.135
Current,C,5000,5,0.17
Current,C,1000,8,0.12
Current,C,4000,10,0.2
Current,C,5000,8,0.14
Current,C,9000,4,0.1595
Current,D,3000,1,0.15
Current,D,1000,7,0.13
Current,D,4000,8,0.2375
Current,D,3100,6,0.26
Current,D,1500,2,0.212
Current,D,5000,3,0.2
Current,D,1800,3,0.22
Current,D,4000,2,0.23
Current,D,15001,9,0.22
Current,D,1000,3,0.15
Current,D,1000,4,0.192
Current,D,5000,8,0.2
Current,D,3000,7,0.1775
Current,D,6001,5,0.2025
Current,D,10000,4,0.24
Current,D,4001,3,0.1269
Current,D,1600,2,0.1595
Current,D,5000,1,0.168
Current,D,1500,1,0.165
Current,D,3100,1,0.185
Current,D,2600,2,0.164
Current,E,3000,5,0.239
Current,E,6001,0,0.22
Current,E,5000,1,0.28
Current,E,3000,1,0.29
Current,E,3000,3,0.29
Current,E,2550,3,0.25
Current,E,5000,2,0.275
Current,E,1200,2,0.2579
Current,E,1000,3,0.13
Current,E,4000,5,0.2485
Current,E,2550,2,0.284
Current,E,6000,2,0.24
Current,E,3600,5,0.2415
Current,E,1000,1,0.15
Current,E,3000,3,0.29
Current,E,3000,2,0.29
Current,E,3399,4,0.29
Current,E,3000,4,0.29
Current,E,2800,5,0.25
Current,E,1200,6,0.24
Current,E,1000,7,0.2475
Current,E,3001,7,0.25
Current,E,10000,6,0.28
Current,E,3001,5,0.255
Current,E,3500,4,0.275
Current,E,6500,6,0.2875
Current,E,5000,7,0.2875
Current,E,3100,5,0.28
Current,E,3000,5,0.26
Current,E,3000,4,0.29
Current,E,1500,4,0.25
Current,E,2900,5,0.29
Current,E,1500,8,0.2375
Current,E,2500,3,0.2525
Current,E,3000,3,0.27
Current,E,2500,7,0.1
Current,HR,1000,7,0.17
Current,HR,2000,4,0.16
Current,HR,1000,1,0.24
Current,HR,1500,3,0.29
Current,HR,4000,5,0.29
Current,HR,5000,5,0.25
Current,HR,2100,1,0.29
Current,HR,4000,4,0.3
Current,HR,4000,3,0.29
Current,HR,2550,7,0.2875
Current,HR,1600,7,0.27
Current,HR,2900,7,0.2075
Current,HR,1500,5,0.2
Current,HR,6000,6,0.2875
Current,HR,1040,1,0.2
Current,HR,1375,1,0.158
Current,HR,2550,3,0.27
Current,HR,2550,1,0.28
Current,HR,2000,3,0.29
Current,HR,4850,2,0.19
Current,HR,1000,8,0.1735
Current,HR,1000,2,0.29
Current,HR,1000,1,0.2895
Current,HR,3001,1,0.25
Current,HR,3000,3,0.17
Current,HR,3001,1,0.243
Current,HR,2550,1,0.29
Current,HR,2000,1,0.29
Current,HR,1000,7,0.2475
Current,HR,3000,5,0.197
Current,HR,1750,5,0.235
Current,HR,3100,7,0.2375
Current,HR,1000,1,0.11
Current,HR,1000,1,0.235
Current,NC,2550,1,0.23
Current,NC,5000,3,0.2325
Current,NC,1500,1,0.28
Default,AA,12500,7,0.1175
Default,HR,3000,7,0.2875
Late,E,3100,4,0.225
Late,HR,2000,8,0.2375
Late,D,2550,7,0.262
Late,E,3000,6,0.259
Late,E,5000,6,0.28
Late,HR,3500,5,0.26
Current,A,2425,10,0.0782
Current,AA,10000,9,0.1
Default,HR,3001,9,0.35
Current,C,2000,8,0.141
Current,HR,4650,10,0.2475
Current,HR,2000,8,0.2375
Late,D,2500,8,0.1925
Current,A,16000,9,0.1062
Current,C,5100,9,0.1495
Current,D,2000,9,0.15
Current,E,2551,8,0.2375
Current,B,4000,8,0.15
Current,D,4500,8,0.2375
Default,HR,3000,9,0.2375
Current,B,15000,10,0.16
Late,A,5000,9,0.09
Current,AA,5000,9,0.095
Current,B,20000,9,0.15
Default,HR,2550,10,0.35
Current,AA,3000,9,0.078
Current,D,2500,8,0.2075
Current,E,3000,8,0.2375
Current,E,7000,11,0.1575
Current,AA,3000,10,0.079
Current,D,5500,8,0.2
Current,HR,1000,8,0.2375
Current,A,3000,7,0.0875
Current,A,6500,5,0.1075
Current,A,9500,8,0.1225
Current,A,3000,2,0.089
Current,A,17000,7,0.125
Current,A,15000,5,0.104
Current,A,6500,7,0.1
Current,A,9000,5,0.1012
Current,A,2550,1,0.1
Current,A,6000,3,0.1248
Current,A,5000,1,0.11
Current,A,25000,4,0.122
Current,A,3000,2,0.092
Current,AA,8000,1,0.0825
Current,AA,15000,1,0.18
Current,AA,3500,5,0.08
Current,AA,1000,1,0.0815
Current,AA,6000,3,0.094
Current,AA,8000,3,0.086
Current,AA,4000,1,0.075
Current,AA,3998,1,0.0793
Current,AA,10000,9,0.1
Current,AA,20000,5,0.11
Current,AA,15000,8,0.1075
Current,AA,15000,1,0.0924
Current,AA,3500,5,0.0885
Current,AA,25000,4,0.1245
Current,AA,3500,6,0.082
Current,AA,3000,5,0.0937
Current,AA,2500,3,0.0795
Current,B,1000,8,0.1
Current,B,15000,6,0.17
Current,B,5000,6,0.12
Current,B,25000,6,0.1143
Current,B,5000,6,0.152
Current,B,10000,5,0.18
Current,B,2000,4,0.125
Current,B,10000,5,0.14
Current,B,12000,7,0.152
Current,B,6500,7,0.1275
Current,B,3000,5,0.104
Current,B,10000,5,0.1354
Current,B,8000,2,0.15
Current,B,1000,2,0.117
Current,B,10000,1,0.1175
Current,B,2750,0,0.138
Current,C,3000,5,0.15
Current,C,5000,1,0.1568
Current,C,4500,1,0.118
Current,C,2800,8,0.159
Current,C,12000,1,0.1405
Current,C,6200,2,0.16
Current,C,5000,3,0.18
Current,C,12000,1,0.183
Current,C,9000,2,0.1615
Current,C,3000,5,0.168
Current,C,15000,4,0.2295
Current,C,5500,3,0.153
Current,C,7000,5,0.13
Current,C,4000,7,0.25
Current,C,5000,4,0.15
Current,C,10000,6,0.185
Current,C,5000,5,0.179
Current,C,3500,8,0.235
Current,C,4000,4,0.19
Current,C,7500,3,0.151
Current,D,5200,3,0.239
Current,D,2000,7,0.1484
Current,D,4500,7,0.212
Current,D,2000,7,0.173
Current,D,5000,3,0.18
Current,D,5000,3,0.239
Current,D,3300,8,0.2075
Current,D,4001,7,0.15
Current,D,10001,8,0.2375
Current,D,2000,1,0.15
Current,D,4500,3,0.2
Current,D,1500,6,0.138
Current,D,3000,2,0.22
Current,D,7000,1,0.21
Current,D,8500,8,0.2225
Current,E,3000,1,0.15
Current,E,2000,10,0.1725
Current,E,3000,9,0.21
Current,E,1000,4,0.1905
Current,E,1800,2,0.25
Current,E,3000,3,0.259
Current,E,2700,6,0.26
Current,E,5242,4,0.274
Current,E,1000,6,0.1175
Current,E,3000,1,0.199
Current,E,1750,4,0.2898
Current,E,3000,2,0.29
Current,E,7000,2,0.2689
Current,E,3950,2,0.17
Current,E,1000,3,0.15
Current,E,3000,1,0.23
Current,E,4000,3,0.27
Current,E,3000,7,0.25
Current,E,2600,7,0.2475
Current,E,3500,3,0.26
Current,E,3100,5,0.23
Current,E,5000,7,0.2375
Current,E,5000,6,0.2875
Current,E,4000,5,0.29
Current,E,4800,4,0.29
Current,E,3000,3,0.29
Current,HR,1000,2,0.0925
Current,HR,2975,6,0.195
Current,HR,1000,7,0.2
Current,HR,1800,5,0.24
Current,HR,1000,4,0.29
Current,HR,5200,6,0.15
Current,HR,4084,1,0.27
Current,HR,3500,7,0.2375
Current,HR,3600,7,0.2875
Current,HR,1050,5,0.29
Current,HR,2500,8,0.2375
Current,HR,1800,6,0.24
Current,HR,2700,5,0.26
Current,HR,3500,7,0.25
Current,HR,2500,7,0.28
Current,HR,1500,4,0.27
Current,HR,2600,3,0.29
Current,HR,3000,6,0.2075
Current,HR,1000,1,0.1995
Current,HR,3500,2,0.27
Current,HR,3001,1,0.29
Current,HR,2550,3,0.278
Current,HR,2550,3,0.29
Current,HR,2550,3,0.2815
Current,HR,1200,1,0.29
Current,HR,1000,5,0.29
Current,HR,2900,6,0.2075
Current,HR,2025,2,0.29
Current,HR,2550,2,0.29
Current,HR,2550,1,0.29
Current,HR,2550,1,0.26
Current,HR,1250,6,0.2375
Current,HR,1001,1,0.2
Current,HR,2550,2,0.29
Current,HR,2500,1,0.29
Current,HR,3200,6,0.2875
Default,HR,3000,10,0.48
Late,D,6500,3,0.2
Late,HR,1000,5,0.2875
Late,HR,2550,4,0.29
Late,NC,1000,5,0.24
Late,C,7000,7,0.21
Late,HR,5000,6,0.2875
Late,D,8365,7,0.287
Late,E,2550,2,0.29
Late,HR,1100,6,0.28
Late,HR,2500,7,0.2475
Current,HR,2500,10,0.28
Current,AA,5000,10,0.0712
Current,HR,5500,9,0.31
Current,D,2500,11,0.1
Current,D,2250,9,0.1575
Late,HR,3000,10,0.45
Late,HR,7100,9,0.3575
Current,C,1500,10,0.154
Current,D,2500,8,0.2375
Current,HR,4500,10,0.29
Current,NC,4000,9,0.2375
Current,A,7500,11,0.08
Current,D,5000,9,0.2
Current,AA,3000,10,0.07
Current,E,2550,10,0.21
Current,B,10000,9,0.17
Current,A,10000,10,0.0885
Default,HR,5000,10,0.4
Current,B,5500,10,0.09
Current,D,2550,8,0.1975
Current,A,20000,10,0.0975
Current,A,6500,1,0.086
Current,A,4000,4,0.11
Current,A,3000,6,0.1015
Current,A,3000,6,0.0894
Current,A,3000,3,0.09
Current,A,5600,5,0.09
Current,A,1000,6,0.084
Current,A,25000,5,0.1
Current,A,2300,7,0.0938
Current,A,5000,6,0.1
Current,A,13000,3,0.109
Current,A,12000,2,0.097
Current,A,1000,3,0.1
Current,A,1500,3,0.099
Current,A,5000,1,0.0825
Current,A,10000,1,0.107
Current,A,2840,6,0.0862
Current,AA,5000,3,0.0825
Current,AA,2550,5,0.085
Current,AA,3001,6,0.082
Current,AA,3000,4,0.0847
Current,AA,2550,1,0.08
Current,AA,3000,1,0.08
Current,AA,5000,1,0.085
Current,AA,5000,5,0.095
Current,AA,5000,0,0.081
Current,AA,9000,5,0.0925
Current,AA,2000,1,0.0785
Current,AA,6250,6,0.09
Current,B,3001,9,0.111
Current,B,3150,6,0.13
Current,B,3000,7,0.158
Current,B,10000,5,0.2449
Current,B,15000,4,0.15
Current,B,5000,3,0.159
Current,B,3300,4,0.118
Current,B,5000,6,0.1149
Current,B,4500,4,0.1
Current,B,5000,2,0.115
Current,B,5250,9,0.13
Current,C,10000,1,0.1826
Current,C,8250,3,0.135
Current,C,12000,1,0.132
Current,C,3000,2,0.13
Current,C,8500,2,0.175
Current,C,14000,4,0.1425
Current,C,5000,5,0.15
Current,C,3000,5,0.154
Current,C,1500,4,0.1425
Current,C,3000,8,0.17
Current,C,4500,5,0.1505
Current,C,3000,7,0.18
Current,C,3000,1,0.15
Current,C,3400,4,0.1373
Current,C,10000,7,0.18
Current,C,16750,9,0.1575
Current,C,5000,9,0.1505
Current,C,5000,1,0.125
Current,C,3000,4,0.16
Current,C,4300,5,0.183
Current,C,10000,6,0.1899
Current,C,1000,6,0.15
Current,C,9000,5,0.19
Current,C,8000,5,0.155
Current,D,2000,8,0.2375
Current,D,1500,7,0.2475
Current,D,1500,6,0.199
Current,D,2550,5,0.158
Current,D,1800,4,0.24
Current,D,3002,4,0.165
Current,D,2350,3,0.1745
Current,D,5000,5,0.1547
Current,D,2995,6,0.1575
Current,D,3001,5,0.165
Current,D,2500,7,0.175
Current,D,6000,3,0.2298
Current,D,10001,4,0.1725
Current,D,5000,4,0.17
Current,D,6001,2,0.1969
Current,D,6001,4,0.227
Current,D,1700,7,0.1483
Current,D,3000,5,0.15
Current,D,5000,3,0.202
Current,D,5000,3,0
Current,D,5000,6,0.28
Current,D,3000,3,0.2
Current,D,10000,8,0.192
Current,D,6500,2,0.29
Current,D,1400,1,0.1545
Current,D,2500,4,0.15
Current,D,10000,2,0.25
Current,D,3500,0,0.24
Current,E,3150,2,0.29
Current,E,10000,4,0.195
Current,E,3000,7,0.2275
Current,E,2900,5,0.236
Current,E,4000,5,0.29
Current,E,3200,1,0.29
Current,E,2550,2,0.2795
Current,E,3750,3,0.19
Current,E,2500,1,0.18
Current,E,7500,8,0.2375
Current,E,2500,2,0.15
Current,E,3000,3,0.2655
Current,E,3500,2,0.279
Current,E,6500,7,0.27
Current,E,3000,3,0.29
Current,E,1300,6,0.16
Current,E,5100,1,0.25
Current,E,3000,3,0.25
Current,E,2550,4,0.25
Current,E,3001,6,0.2565
Current,E,3000,2,0.2312
Current,E,1800,7,0.2144
Current,E,3450,6,0.1775
Current,E,7500,7,0.2375
Current,E,1500,7,0.1775
Current,E,4950,8,0.2475
Current,E,8000,4,0.199
Current,E,2003,4,0.29
Current,E,3500,5,0.29
Current,E,5000,5,0.29
Current,E,2000,5,0.29
Current,E,1000,1,0.17
Current,E,2650,7,0.1575
Current,E,5500,3,0.29
Current,HR,1000,1,0.29
Current,HR,3000,7,0.2875
Current,HR,3000,6,0.25
Current,HR,2550,5,0.26
Current,HR,3001,5,0.29
